StartDate,EndDate,Progress,Duration (in seconds),Q87,Q33,Q35,Q37,Q39,Q58,Q68,Q69,Q57,Q57_178_TEXT,Q19,Q89,Q2,Q5,Q6,Q7,Q49,Q10,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q14,Q82,Q25,Q86,Q83,Q84,Q63,Q66,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q76,Q22,Q18,Q65,Q73,Q20,Q80,Q81_4,Q81_5,Q81_6,Q70,Q78,Q79,Q23,Q74,Q31,Q61,Q85,Q46,Q64,Q15,Q4,Q3,Q45,Q47,Q48,Q75,Q76,Q12,Q21,Q26,Q28,Q27,Q59,Q54,Q55,Q56,,gc,term,EC,covid,race,age,LS
10/21/2020 16:36,10/21/2020 16:44,100,466,"Yes, I consent to participating in this survey",1982,High school graduate (high school diploma or equivalent including GED),Black or African American,Female,Yes,Ohio,Urban,"Independent, but closer to Democrat",,Donald Trump,I will provide my best answers,Every state should have two senators.,The House of Representatives should not have a vote on Supreme Court nominees.,No,Yes,Yes,Yes,Very untrustworthy,Trustworthy,Trustworthy,Neither untrustworthy nor trustworthy,Very trustworthy,Trustworthy,Very trustworthy,Neither untrustworthy nor trustworthy,Neither untrustworthy nor trustworthy,In person--on Election Day,Yes,I vote in every election,More engaged than in 2016,By November 10,Yes,"It's a problem, but it has only affected the results in a few elections.",No,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Black lives matter,Moderately important,Respecting democratic norms,Somewhat agree,Strongly agree,Probably yes,Hopeful,Ahame ,bad ,cool,Somewhat agree,Strongly agree,Agree,Low point,"We still speak, but we don't talk about politics.",good on some of the supporters but not all because i differ on some of them and I think they doing horrible all the time witch is ashame that it has to be like that but they not trustworthy,The late 1960's feels about the same as now.,Very few (less than 10%),Moderately comfortable,Slightly pleased,"Your party should pass as many bills as possible, but be open to negotiating the terms when the other party strongly opposes.",Probably yes,Probably yes,Probably yes,Yes,Probably yes,No,No,Important,Yes,Agree,Somewhat satisfied,Somewhat satisfied,,,,Definitely yes,,1,,demogchange,russia,black,35-44,711
10/21/2020 16:38,10/21/2020 16:45,100,442,"Yes, I consent to participating in this survey",1952,Bachelor's degree in college (4-years),White,Female,No,Rhode Island,Suburban,Democrat,,Joe Biden,I will provide my best answers,Every state should have two senators.,Not sure.,Yes,Yes,Yes,No,Neither untrustworthy nor trustworthy,Neither untrustworthy nor trustworthy,Trustworthy,Very trustworthy,Very untrustworthy,Untrustworthy,Very trustworthy,Neither untrustworthy nor trustworthy,Very untrustworthy,By mail,Yes,I vote in every election,Less engaged than in 2016,Sometime in December or later,Yes,It's not a problem.,Yes,Important,I'm not sure,Very important,I'm not sure,I'm not sure,Important,Very important,Very important,I'm not sure,Black lives matter,Very important,Both are equally important,Somewhat agree,Strongly disagree,Probably yes,Worried,Incivility,Unrest,Shame,Strongly agree,Strongly agree,Strongly disagree,Low point,"We still speak, but we don't talk about politics.",I love them but struggle to understand their views. Discussions about politics and the state of the nation escalate beyond an exchange of ideas and opinions. ,The late 1960's felt better than now.,Some (about 50%),Neither comfortable nor uncomfortable,Neither pleased nor displeased,"Your party should pass as many bills as possible, but be open to negotiating the terms when the other party strongly opposes.",Definitely not,Probably not,Might or might not,No,Definitely not,Not sure,No,Important,Not sure,Strongly agree,Extremely dissatisfied,Somewhat satisfied,,,Might or might not,,,1,,swing,china,white,65+,711
10/21/2020 16:42,10/21/2020 16:49,100,403,"Yes, I consent to participating in this survey",1980,"Professional degree (JD, MD)",White,Male,Yes,Ohio,Urban,Republican,,Donald Trump,I will provide my best answers,Every state should have two senators.,The House of Representatives should not have a vote on Supreme Court nominees.,Yes,Yes,Yes,Yes,Very trustworthy,Trustworthy,Very trustworthy,,,,,,,In person--during early voting,Yes,I vote in every election,More engaged than in 2016,By November 10,Yes,It's a huge problem.,Yes,,Important,Very important,Neither unimportant nor important,Important,Unimportant,Important,Very important,I'm not sure,Black lives matter,Extremely important,Respecting democratic norms,Strongly agree,Strongly agree,Definitely yes,Depressed,2,4,2,Agree,Strongly agree,Strongly agree,High point,Yes,"The most popular interview question is ""Tell me about yourself"" and you'll probably be asked it at the beginning of your interview, no matter what kind of job you're applying for.The question might not be asked in exactly these words â€“ ""Walk me through your resume"" and ""Walk me through your background"" are common variations.",The late 1960's felt worse than now.,Some (about 50%),Extremely comfortable,Slightly pleased,Your party should maximize the majority advantage and oppose the other partyâ€™s agenda at every turn.,Probably yes,Probably yes,Definitely yes,Yes,Definitely yes,Yes,Yes,Important,Yes,Agree,Extremely satisfied,Extremely satisfied,,Definitely yes,,,,1,,popvote,uk,white,35-44,711
10/21/2020 16:42,10/21/2020 16:49,100,463,"Yes, I consent to participating in this survey",1949,High school graduate (high school diploma or equivalent including GED),White,Female,No,Connecticut,Rural,Democrat,,Donald Trump,I will provide my best answers,The number of senators should be based on population.,Not sure.,Yes,Yes,No,Yes,Very trustworthy,Very trustworthy,Very trustworthy,Very trustworthy,Very trustworthy,Very trustworthy,Very trustworthy,Very trustworthy,Very trustworthy,In person--during early voting,No,I vote in every election,About the same as in 2016,"The night of Election Day, November 3",Yes,It's not a problem.,No,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,All lives matter,Extremely important,Respecting democratic norms,Strongly agree,Strongly disagree,Definitely yes,Hopeful,bad,hopeful,disasterious,Strongly agree,Strongly agree,Strongly agree,Low point,No,"if you have true friend the friendship will not change. No matter what, Also I feel that we have to gather relationships to stay equal and justify our countryl. America is one big house",The late 1960's felt worse than now.,Some (about 50%),Neither comfortable nor uncomfortable,Extremely pleased,Not sure.,Definitely yes,Definitely yes,Definitely yes,Yes,Definitely not,Yes,Yes,Important,No,Disagree,Extremely satisfied,Extremely satisfied,,Definitely yes,,,,1,,popvote,uk,white,65+,711
10/21/2020 16:42,10/21/2020 16:49,100,452,"Yes, I consent to participating in this survey",1986,High school graduate (high school diploma or equivalent including GED),White,Male,No,Kansas,Urban,Democrat,,Joe Biden,I will provide my best answers,Every state should have two senators.,The House of Representatives should not have a vote on Supreme Court nominees.,No,No,Yes,Yes,Very untrustworthy,Untrustworthy,Very untrustworthy,Very trustworthy,Very untrustworthy,Very untrustworthy,Very untrustworthy,Very untrustworthy,Very untrustworthy,In person--on Election Day,Yes,I vote in every election,About the same as in 2016,"The night of Election Day, November 3",Yes,"It's a problem, but it has only affected the results in a few elections.",No,Very important,Very unimportant,Very important,Very important,Very important,Very important,Very unimportant,Very important,Important,All lives matter,Slightly important,Enforcing laws,Strongly agree,Somewhat agree,Probably yes,Proud,Horriable,Liers,Not cool,Strongly disagree,Strongly agree,Somewhat agree,High point,"We still speak, but we don't talk about politics.",Just how I feel im nit understanding why you think I need to write 150 words or how I would even no when I got to 150 you are stupid do you like that answer,The late 1960's felt better than now.,Some (about 50%),Moderately comfortable,Moderately pleased,"Your party should pass as many bills as possible, but be open to negotiating the terms when the other party strongly opposes.",Probably yes,Might or might not,Definitely yes,Yes,Might or might not,Yes,No,Somewhat important,No,Somewhat agree,Somewhat satisfied,Neither satisfied nor dissatisfied,,,Definitely yes,,,1,,swing,china,white,25-34,711
10/21/2020 16:42,10/21/2020 16:49,100,419,"Yes, I consent to participating in this survey",1986,High school graduate (high school diploma or equivalent including GED),Black or African American,Male,Yes,Missouri,Rural,Democrat,,Donald Trump,I will provide my best answers,Every state should have two senators.,The House of Representatives should not have a vote on Supreme Court nominees.,Yes,Yes,Yes,Yes,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,By mail,Yes,I vote in every election,More engaged than in 2016,4-Nov,Yes,It's not a problem.,Yes,Neither unimportant nor important,Unimportant,Important,Very important,Important,Important,Important,Important,Important,Black lives matter,Moderately important,Enforcing laws,Neither agree nor disagree,Neither agree nor disagree,Probably yes,Proud,Abrudt,Careless,Nottring,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhere in between,Yes,Can be better in the world if politicians understand the people all better foreal need to be understood better each and everybody life situations better seem to not be guided correctly at all seems slow,The late 1960's feels about the same as now.,Some (about 50%),Slightly comfortable,Slightly pleased,Your party should maximize the majority advantage and oppose the other partyâ€™s agenda at every turn.,Might or might not,Might or might not,Might or might not,No,Probably yes,Yes,Yes,Somewhat important,Yes,Agree,Somewhat satisfied,Somewhat satisfied,,Definitely not,,,,1,,demogchange,uk,black,25-34,711
10/21/2020 16:42,10/21/2020 16:50,100,457,"Yes, I consent to participating in this survey",1970,Bachelor's degree in college (4-years),White,Female,No,Missouri,Rural,"Independent, but closer to Republican",,Donald Trump,I will provide my best answers,Every state should have two senators.,The House of Representatives should have a vote on Supreme Court nominees.,No,Yes,Yes,Yes,Trustworthy,Untrustworthy,Untrustworthy,Very trustworthy,Untrustworthy,Untrustworthy,Very untrustworthy,Untrustworthy,Neither untrustworthy nor trustworthy,In person--on Election Day,No,I vote in presidential elections,More engaged than in 2016,4-Nov,Yes,It's a huge problem.,Yes,Very important,Very unimportant,Very important,Very important,Very important,Very important,Very important,Very important,Very important,All lives matter,Extremely important,Both are equally important,Somewhat agree,Strongly agree,Probably yes,Worried,Ridiculous ,Sad,Angry ,Strongly disagree,Strongly disagree,Agree,Low point,Yes,I have my own opinions and they want me to agree with them and are taking it personally that I don't. One sentence is entirely enough for .39. Enough already.,I wasn't at least ten years old in the late 1960's.,Several (more than 75%),Slightly comfortable,Moderately displeased,"Your party should pass as many bills as possible, but be open to negotiating the terms when the other party strongly opposes.",Probably yes,Probably yes,Probably yes,Yes,Might or might not,Yes,Yes,Not important,No,Disagree,Somewhat satisfied,Somewhat satisfied,,,,Definitely not,,1,,popvote,russia,white,45-54,711
10/21/2020 16:41,10/21/2020 16:50,100,546,"Yes, I consent to participating in this survey",1951,High school graduate (high school diploma or equivalent including GED),White,Female,No,South Dakota,Rural,Democrat,,Joe Biden,I will provide my best answers,Every state should have two senators.,Not sure.,Yes,Yes,Yes,No,Very untrustworthy,Neither untrustworthy nor trustworthy,Untrustworthy,Neither untrustworthy nor trustworthy,Untrustworthy,Untrustworthy,Trustworthy,Neither untrustworthy nor trustworthy,Untrustworthy,In person--on Election Day,No,I vote in every election,More engaged than in 2016,By the end of November,Yes,It's not a problem.,Yes,Important,Important,Very important,Very important,Important,Very important,Neither unimportant nor important,Neither unimportant nor important,Neither unimportant nor important,Not sure,Extremely important,Both are equally important,Somewhat agree,Strongly disagree,Maybe,Indifferent,Horrible,Hate,Division,Agree,Somewhat agree,Somewhat agree,Low point,No,Get along pretty good never really had any major disagreements and if we do we put it behind us there is no Sense to hold on to grudges it will just be bring you down,The late 1960's feels about the same as now.,Some (about 50%),Slightly comfortable,Neither pleased nor displeased,"Your party should pass as many bills as possible, but be open to negotiating the terms when the other party strongly opposes.",Definitely not,Might or might not,Probably yes,No,Might or might not,Not sure,Not sure,Important,Yes,Somewhat agree,Extremely dissatisfied,Extremely dissatisfied,,Probably yes,,,,1,,popvote,uk,white,65+,711
10/21/2020 16:42,10/21/2020 16:51,100,497,"Yes, I consent to participating in this survey",1995,Bachelor's degree in college (4-years),Asian,Male,No,Hawaii,Suburban,Democrat,,Joe Biden,I will provide my best answers,The number of senators should be based on population.,The House of Representatives should have a vote on Supreme Court nominees.,Yes,Yes,Yes,Not sure,Neither untrustworthy nor trustworthy,Trustworthy,Trustworthy,Trustworthy,Neither untrustworthy nor trustworthy,Trustworthy,Trustworthy,Neither untrustworthy nor trustworthy,Neither untrustworthy nor trustworthy,By mail,Yes,I vote in every election,More engaged than in 2016,4-Nov,Yes,It's a huge problem.,Yes,Very important,Very important,Important,Very important,I'm not sure,Neither unimportant nor important,Very important,Important,Very important,Black lives matter,Extremely important,Both are equally important,Somewhat agree,Neither agree nor disagree,Probably yes,Worried,Hectic,Uncommunicative,Unreliable,Agree,Agree,Neither agree nor disagree,Somewhere in between,"We still speak, but we don't talk about politics.",Everyone is entitled to their own opinions and should respect that idea. Whether you agree or not on certain things it also depends on your character. ,I wasn't at least ten years old in the late 1960's.,Some (about 50%),Neither comfortable nor uncomfortable,Neither pleased nor displeased,Your party should try to reach consensus with the other party before passing a bill.,Might or might not,Probably not,Might or might not,No,Might or might not,Yes,Yes,Important,Yes,Somewhat agree,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Probably yes,,,,,1,,swing,us,asian,25-34,711
10/21/2020 16:42,10/21/2020 16:51,100,524,"Yes, I consent to participating in this survey",1974,High school graduate (high school diploma or equivalent including GED),White,Female,Yes,Missouri,Rural,Independent,,I don't plan on voting in the 2020 election,I will provide my best answers,Not sure.,Not sure.,Not sure,Not sure,Not sure,Not sure,Neither untrustworthy nor trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Trustworthy,Not sure,No,I rarely vote,Not sure,By the end of November,Not sure,Not sure,Not sure,Neither unimportant nor important,I'm not sure,I'm not sure,Important,Very important,I'm not sure,Neither unimportant nor important,Neither unimportant nor important,Important,All lives matter,Moderately important,Both are equally important,Neither agree nor disagree,Neither agree nor disagree,I don't plan on voting,Hopeful,Untrustful,Crazy,Unfair,Agree,Neither agree nor disagree,Not sure,Not sure,No,My friendships are pretty solid and we agree on most everything but if we don't it's not to point of destroying friendship. Therefore there is absolutely no strain on my relationships.,Not sure,None (0%),Neither comfortable nor uncomfortable,Neither pleased nor displeased,Not sure.,Might or might not,Might or might not,Might or might not,Not sure,Might or might not,Not sure,Not sure,Somewhat important,Not sure,Neither agree nor disagree,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,,Might or might not,,,1,,control,china,white,45-54,711
